,min_spectro_db,max_spectro_db,filename
235,-40.03595,39.96405,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
236,-39.37565,40.62435,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
237,-41.850132,38.149868,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
238,-39.916553,40.083447,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
239,-41.508614,38.491386,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
240,-38.056282,41.943718,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
241,-40.312233,39.687767,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
242,-44.03766,35.96234,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Godan-ginuta.mp3
243,-47.154766,32.845234,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
244,-46.82068,33.17932,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
245,-48.690495,31.309505,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
246,-47.802254,32.197746,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
247,-45.030437,34.969563,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
248,-48.83813,31.16187,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
249,-48.890724,31.109278,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
250,-48.425503,31.574497,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
251,-46.395096,33.604904,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
252,-44.505547,35.494453,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
253,-47.826023,32.173977,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
254,-40.294197,39.705803,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
255,-47.713108,32.286892,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
256,-47.22796,32.77204,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
257,-39.02961,40.97039,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
258,-42.432354,37.567646,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
259,-36.21093,43.78907,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
260,-39.44732,40.55268,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
261,-36.817776,43.182224,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
262,-38.042103,41.957897,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
263,-35.93201,44.06799,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
264,-37.435272,42.564728,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
265,-43.45836,36.54164,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
266,-39.003723,40.996277,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
267,-36.977238,43.022762,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
268,-42.448685,37.551315,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
269,-38.8536,41.1464,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
270,-37.470963,42.529037,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
271,-35.885235,44.114765,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
272,-35.164032,44.835968,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
273,-40.630512,39.369488,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
274,-37.38775,42.61225,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
275,-38.589333,41.410667,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
276,-44.86537,35.13463,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
277,-38.91728,41.08272,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
278,-35.81703,44.18297,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
279,-41.125153,38.874847,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
280,-40.302174,39.697826,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
281,-44.235664,35.764336,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
282,-42.17687,37.82313,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
283,-35.4018,44.5982,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
284,-41.392662,38.607338,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
285,-37.358025,42.641975,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
286,-36.4964,43.5036,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
287,-37.2617,42.7383,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
288,-45.783707,34.216293,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Midare.mp3
289,-45.710136,34.289864,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
290,-44.254585,35.745415,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
291,-44.259743,35.740257,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
292,-45.611618,34.388382,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
293,-42.39325,37.60675,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
294,-40.804775,39.195225,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
295,-44.70661,35.29339,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
